customer_state,total_delivered_orders,late_orders_count,late_delivery_rate_pct,avg_days_late
AL,397,95,23.93,8.5
MA,717,141,19.67,9.3
PI,476,76,15.97,11.6
CE,1279,196,15.32,13.6
SE,335,51,15.22,16.2
BA,3256,457,14.04,10.4
RJ,12350,1664,13.47,12.1
TO,274,35,12.77,5.0
PA,946,117,12.37,11.6
ES,1995,244,12.23,9.9
RR,41,5,12.2,36.4
MS,701,81,11.55,7.0
PB,517,57,11.03,9.8
PE,1593,172,10.8,10.6
RN,474,51,10.76,12.5
SC,3546,346,9.76,7.0
GO,1957,160,8.18,9.1
RS,5344,382,7.15,8.7
DF,2080,147,7.07,6.0
MT,886,60,6.77,9.4
SP,40494,2387,5.89,6.4
MG,11354,637,5.61,6.8
PR,4923,246,5.0,6.7
AP,67,3,4.48,48.3
AM,145,6,4.14,20.2
AC,80,3,3.75,18.7
RO,243,7,2.88,5.6
